Hora,Estado_ON_OFF,Potencia_Despachada_MW,Demanda_Promedio_Neta_MW
0,OFF,150,1541.02
1,OFF,270,1345.45
2,OFF,390,1180.69
3,OFF,450,1084.31
4,ON,450,1050.51
5,ON,450,1062.3
6,ON,450,1164.91
7,OFF,450,1344.42
8,OFF,450,1523.49
9,OFF,450,1621.1
10,ON,450,1704.45
11,OFF,450,1743.39
12,ON,0,1753.32
13,ON,0,1733.85
14,ON,0,1721.31
15,OFF,0,1674.01
16,OFF,150,1682.98
17,ON,270,1667.47
18,OFF,0,1807.22
19,ON,150,1932.01
20,ON,270,1973.47
21,OFF,390,2021.36
22,OFF,450,1965.91
23,ON,450,1784.65
24,OFF,450,1512.05
25,ON,450,1298.44
26,ON,0,1140.2
27,OFF,0,1050.44
28,OFF,150,1020.64
29,ON,0,1012.16
30,ON,150,1110.88
31,ON,0,1322.02
32,ON,150,1491.65
33,OFF,270,1601.42
34,ON,0,1684.76
35,ON,150,1732.04
36,OFF,0,1730.01
37,OFF,0,1718.13
38,OFF,150,1682.18
39,ON,270,1639.42
40,OFF,390,1661.69
41,OFF,450,1646.06
42,ON,450,1795.03
43,ON,450,1924.71
44,OFF,450,1976.94
45,ON,450,2005.04
46,ON,450,1955.52
47,OFF,450,1786.09
48,ON,450,1517.29
49,OFF,450,1286.35
50,ON,450,1133.27
51,OFF,450,1040.56
52,OFF,450,1008.47
53,ON,450,1029.24
54,ON,450,1127.55
55,OFF,450,1320.27
56,OFF,450,1495.93
57,ON,450,1615.1
58,ON,0,1691.07
59,OFF,150,1738.06
60,ON,270,1741.89
61,OFF,390,1713.53
62,OFF,450,1695.72
63,OFF,450,1662.03
64,ON,450,1663.44
65,OFF,450,1665.6
66,ON,450,1803.38
67,ON,0,1938.82
68,ON,0,1989.65
69,ON,150,2026.28
70,ON,0,1975.04
71,OFF,0,1803.03
72,ON,150,1546.6
73,OFF,270,1317.95
74,OFF,390,1165.22
75,ON,450,1064.91
76,ON,450,1045.33
77,OFF,450,1060.3
78,ON,0,1147.77
79,ON,150,1367.31
80,OFF,270,1527.88
81,ON,390,1638.66
82,OFF,450,1730.19
83,OFF,450,1759.52
84,ON,450,1786.27
85,ON,0,1757.35
86,ON,150,1733.71
87,ON,270,1704.34
88,ON,390,1698.02
89,OFF,450,1686.26
90,OFF,450,1830.22
91,OFF,450,1966.52
92,OFF,450,2021.45
93,ON,450,2058.26
94,ON,450,2013.57
95,ON,0,1841.1
96,ON,150,1572.31
97,OFF,270,1352.07
98,ON,390,1200.47
99,OFF,450,1093.72
100,ON,450,1078.01
101,OFF,450,1084.93
102,OFF,0,1176.94
103,OFF,150,1390.43
104,ON,270,1546.6
105,ON,0,1663.76
106,OFF,150,1750.18
107,OFF,270,1800.11
108,OFF,390,1804.7
109,OFF,450,1795.97
110,OFF,450,1753.9
111,ON,450,1717.93
112,ON,450,1724.74
113,OFF,450,1721.39
114,OFF,450,1857.32
115,OFF,450,1983.2
116,OFF,450,2035.04
117,ON,450,2079.53
118,ON,450,2034.23
119,ON,450,1861.55
120,ON,450,1602.27
121,OFF,450,1375.29
122,OFF,450,1211.44
123,ON,0,1130.72
124,OFF,150,1100.88
125,ON,270,1100.47
126,OFF,390,1208.86
127,OFF,450,1392.19
128,ON,450,1570.52
129,OFF,450,1691.9
130,OFF,450,1769.41
131,ON,450,1808.78
132,OFF,450,1819.16
133,ON,450,1804.83
134,ON,450,1767.03
135,ON,450,1730.8
136,OFF,450,1724.61
137,OFF,450,1721.22
138,OFF,450,1859.94
139,OFF,0,1988.01
140,ON,0,2041.48
141,OFF,150,2073.09
142,OFF,270,2027.97
143,ON,390,1865.8
144,OFF,450,1593.22
145,OFF,450,1356.88
146,OFF,450,1215.28
147,ON,450,1126.04
148,ON,450,1090.97
149,OFF,450,1085.27
150,OFF,0,1190.95
151,ON,150,1385.72
152,OFF,270,1543.69
153,OFF,390,1652.93
154,OFF,450,1739.87
155,ON,450,1784.05
156,OFF,450,1796.54
157,OFF,450,1775.96
158,OFF,0,1734.93
159,OFF,150,1705.55
160,OFF,270,1705.85
161,ON,390,1692.45
162,ON,0,1845.19
163,OFF,150,1957.64
164,ON,270,2022.7
165,OFF,390,2047.94
166,OFF,450,1999.21
167,OFF,450,1824.72
