Hora,Valor
0,841.11
1,828.83
2,792.82
3,735.53
4,660.88
5,573.94
6,480.64
7,387.34
8,300.40
9,225.74
10,168.45
11,132.44
12,120.16
13,132.44
14,168.45
15,225.74
16,300.40
17,387.34
18,480.64
19,573.94
20,660.88
21,735.53
22,792.82
23,828.83
24,841.11
25,828.83
26,792.82
27,735.53
28,660.88
29,573.94
30,480.64
31,387.34
32,300.40
33,225.74
34,168.45
35,132.44
36,120.16
37,132.44
38,168.45
39,225.74
40,300.40
41,387.34
42,480.64
43,573.94
44,660.88
45,735.53
46,792.82
47,828.83
48,841.11
49,828.83
50,792.82
51,735.53
52,660.88
53,573.94
54,480.64
55,387.34
56,300.40
57,225.74
58,168.45
59,132.44
60,120.16
61,132.44
62,168.45
63,225.74
64,300.40
65,387.34
66,480.64
67,573.94
68,660.88
69,735.53
70,792.82
71,828.83
72,841.11
73,828.83
74,792.82
75,735.53
76,660.88
77,573.94
78,480.64
79,387.34
80,300.40
81,212.05
82,158.23
83,124.41
84,112.87
85,124.41
86,158.23
87,212.05
88,282.17
89,363.84
90,451.48
91,539.12
92,620.78
93,690.91
94,744.72
95,778.55
96,790.09
97,778.55
98,744.72
99,690.91
100,620.78
101,539.12
102,451.48
103,363.84
104,282.17
105,212.05
106,158.23
107,124.41
108,112.87
109,124.41
110,158.23
111,212.05
112,282.17
113,363.84
114,451.48
115,539.12
116,620.78
117,690.91
118,744.72
119,778.55
120,790.09
121,778.55
122,744.72
123,690.91
124,620.78
125,539.12
126,451.48
127,363.84
128,282.17
129,212.05
130,158.23
131,124.41
132,112.87
133,124.41
134,158.23
135,212.05
136,282.17
137,363.84
138,451.48
139,539.12
140,620.78
141,690.91
142,744.72
143,778.55
144,790.09
145,778.55
146,744.72
147,690.91
148,620.78
149,539.12
150,451.48
151,363.84
152,282.17
153,212.05
154,158.23
155,124.41
156,112.87
157,124.41
158,158.23
159,212.05
160,282.17
161,363.84
162,451.48
163,539.12
164,620.78
165,690.91
166,744.72
167,778.55
